Lap trinh C co ban;Nguyen Van A;5
Cau truc du lieu va giai thuat;Tran Thi B;3
Toan roi rac;Le Thi C;2
Giai tich 1;Pham Van D;7
Giai tich 2;Pham Van D;4
Dai so tuyen tinh;Nguyen Thi E;6
Xac suat thong ke;Le Van F;8
Co so du lieu;Tran Van G;10
Mang may tinh;Nguyen Van H;5
He dieu hanh;Pham Van I;9
Cau truc may tinh;Le Thi J;3
Tri tue nhan tao;Nguyen Van K;2
Lap trinh Python;Tran Thi L;7
Lap trinh Java;Nguyen Van M;6
Lap trinh Web;Le Van N;8
Phan tich thiet ke thuat toan;Pham Van O;4
Kien truc phan mem;Nguyen Thi P;5
Cong nghe phan mem;Le Van Q;7
An toan thong tin;Nguyen Van R;3
Mang neural;Tran Van S;2
Hoc may;Nguyen Van T;6
Du lieu lon;Le Thi U;5
Phan tich du lieu;Pham Van V;8
Lap trinh di dong;Nguyen Van W;4
Phat trien ung dung;Le Van X;7
Do hoa may tinh;Tran Thi Y;3
Thiet ke giao dien;Nguyen Van Z;2
Quan tri mang;Pham Van AA;6
Bao mat mang;Le Thi BB;5
He thong nhung;Nguyen Van CC;4
Lap trinh C nang cao;Tran Van DD;7
Lap trinh C++;Nguyen Van EE;8
Lap trinh C#;Le Van FF;3
Lap trinh PHP;Pham Van GG;2
Lap trinh Ruby;Nguyen Thi HH;5
Lap trinh Swift;Le Van II;4
Lap trinh Kotlin;Tran Van JJ;6
Lap trinh Go;Nguyen Van KK;7
Lap trinh Rust;Le Thi LL;3
Lap trinh Matlab;Pham Van MM;2
Lap trinh R;Nguyen Van NN;5
Lap trinh Scala;Le Van OO;4
Lap trinh Perl;Tran Thi PP;6
Lap trinh Dart;Nguyen Van QQ;7
Lap trinh TypeScript;Le Thi RR;3
Lap trinh JavaScript;Pham Van SS;2
Lap trinh Shell;Nguyen Van TT;5
Lap trinh Bash;Le Van UU;4
Lap trinh Assembly;Tran Van VV;6
Lap trinh Fortran;Nguyen Van WW;7
Lap trinh Pascal;Le Thi XX;3
Lap trinh Lua;Pham Van YY;2
Lap trinh Haskell;Nguyen Van ZZ;5
Lap trinh Prolog;Le Van AB;4
Lap trinh Lisp;Tran Thi AC;6
Lap trinh Erlang;Nguyen Van AD;7
Lap trinh F#;Le Thi AE;3
Lap trinh OCaml;Pham Van AF;2
Lap trinh Julia;Nguyen Van AG;5
Lap trinh Groovy;Le Van AH;4
Lap trinh Visual Basic;Tran Thi AI;6
Lap trinh Objective-C;Nguyen Van AJ;7
Lap trinh SQL;Le Thi AK;3
Lap trinh PL/SQL;Pham Van AL;2
Lap trinh T-SQL;Nguyen Van AM;5
Lap trinh ABAP;Le Van AN;4
Lap trinh COBOL;Tran Thi AO;6
Lap trinh Scratch;Nguyen Van AP;7
Lap trinh Logo;Le Thi AQ;3
Lap trinh Simulink;Pham Van AR;2
Lap trinh Maple;Nguyen Van AS;5
Lap trinh LabVIEW;Le Van AT;4
Lap trinh VHDL;Tran Thi AU;6
Lap trinh Verilog;Nguyen Van AV;7
Lap trinh Ada;Le Thi AW;3
Lap trinh Smalltalk;Pham Van AX;2
Lap trinh Crystal;Nguyen Van AY;5
Lap trinh Nim;Le Van AZ;4
Lap trinh Elm;Tran Thi BA;6
Lap trinh Elixir;Nguyen Van BB;7
Lap trinh Clojure;Le Thi BC;3
Lap trinh CoffeeScript;Pham Van BD;2
Lap trinh Apex;Nguyen Van BE;5
Lap trinh Awk;Le Van BF;4
Lap trinh D;Tran Thi BG;6
Lap trinh Eiffel;Nguyen Van BH;7
Lap trinh FoxPro;Le Thi BI;3
Lap trinh Q#;Pham Van BJ;2
Lap trinh PureScript;Nguyen Van BK;5
Lap trinh ReasonML;Le Van BL;4
Lap trinh Squirrel;Tran Thi BM;6
Lap trinh Vala;Nguyen Van BN;7
Lap trinh Zig;Le Thi BO;3
Lap trinh Pony;Pham Van BP;2
Lap trinh Red;Nguyen Van BQ;5
Lap trinh Ring;Le Van BR;4
Lap trinh Seed7;Tran Thi BS;6
Lap trinh Spin;Nguyen Van BT;7
